generation,First_Individual_First_Chromosome_X_Count,Mean_X_Count,Approx_Mean,NB_Mean,Sim_Variance,Approx_Variance,NB_Variance,Charles_Mean,Sim_P,Approx_P,NB_P,Sim_Skewness,NB_Skewness,Sim_Third_Moment,Sim_Excess_kurtosis,NB_Excess_Kurtosis
1,7,10.2512,10.0748,10.0738,3.9915,12.0348,12.0242,10.0748,2.56826,1,1,0.156945,0.319438,1.25156,0.466158,0.102041
2,5,10.5504,10.3528,10.3501,7.14766,13.4065,13.3812,10.3567,1.47606,0.837139,0.837794,0.268457,0.400053,5.13005,0.268948,0.198481
3,13,10.8922,10.6356,10.6308,9.60778,14.3247,14.2842,10.646,1.13369,0.772219,0.773483,0.257201,0.433486,7.65961,0.200113,0.244499
4,7,11.1573,10.9242,10.917,11.4822,15.0065,14.9523,10.9427,0.971708,0.742469,0.744235,0.277472,0.446447,10.7958,0.0374968,0.263969
5,6,11.5279,11.2191,11.2092,13.4334,15.5676,15.5012,11.247,0.858151,0.727964,0.730118,0.307413,0.449796,15.1357,0.111272,0.270035
6,9,11.8551,11.5208,11.508,14.8481,16.0693,15.9921,11.5591,0.798425,0.720672,0.723118,0.372535,0.448496,21.3144,0.139712,0.269468
7,6,12.1273,11.8294,11.8136,16.3427,16.5443,16.457,11.8792,0.742062,0.716944,0.719607,0.387175,0.444934,25.5796,0.202573,0.265684
8,4,12.4309,12.1451,12.1262,17.2794,17.0099,16.9131,12.2073,0.719405,0.715015,0.717845,0.405287,0.440285,29.111,0.186758,0.260395
9,9,12.7682,12.4682,12.4459,18.1725,17.4755,17.3694,12.5438,0.702612,0.714004,0.716968,0.389762,0.435137,30.194,0.158846,0.254453
10,9,13.134,12.7986,12.773,19.4736,17.9462,17.8307,12.8886,0.67445,0.713465,0.716542,0.410298,0.429781,35.259,0.135743,0.248281
11,6,13.4694,13.1367,13.1074,19.9037,18.4246,18.2995,13.242,0.67673,0.713168,0.716347,0.428797,0.424366,38.076,0.293152,0.242088
12,3,13.8761,13.4823,13.4494,20.8145,18.9123,18.7774,13.6042,0.666654,0.712996,0.71627,0.41085,0.418964,39.0152,0.347432,0.235974
13,7,14.2404,13.8358,13.799,22.0956,19.4102,19.2651,13.9753,0.64449,0.712889,0.716254,0.442298,0.413613,45.9382,0.278688,0.229986
14,6,14.5529,14.1972,14.1563,22.208,19.9187,19.7631,14.3555,0.6553,0.712814,0.71627,0.380221,0.408331,39.7925,0.173048,0.224147
15,9,14.9055,14.5665,14.5215,23.0886,20.4384,20.2717,14.745,0.645579,0.712755,0.716302,0.368648,0.403125,40.8986,0.226146,0.218465
16,14,15.2737,14.944,14.8947,23.5496,20.9694,20.7913,15.1439,0.648576,0.712704,0.716344,0.388008,0.397999,44.342,0.135705,0.21294
17,12,15.6515,15.3296,15.2758,25.0622,21.5119,21.3218,15.5523,0.624505,0.712658,0.71639,0.397073,0.392955,49.8196,0.213171,0.207572
18,9,16.0019,15.7236,15.6651,24.9529,22.0661,21.8637,15.9705,0.641284,0.712612,0.71644,0.395852,0.387993,49.3417,0.272748,0.202357
19,7,16.4039,16.1259,16.0627,25.531,22.6321,22.4168,16.3986,0.64251,0.712567,0.716492,0.382463,0.383112,49.3389,0.163258,0.197293
20,11,16.774,16.5367,16.4685,25.8335,23.2102,22.9814,16.8368,0.649311,0.712522,0.716546,0.391313,0.378311,51.3807,0.192631,0.192374
21,9,17.3038,16.956,16.8828,26.7919,23.8003,23.5576,17.2852,0.645859,0.712475,0.716602,0.388172,0.37359,53.8306,0.130534,0.187597
22,13,17.798,17.384,17.3055,27.7508,24.4027,24.1455,17.744,0.641351,0.712429,0.716658,0.40945,0.368947,59.8568,0.190259,0.182959
23,4,18.1649,17.8207,17.7368,28.7007,25.0174,24.7452,18.2133,0.632908,0.712381,0.716716,0.388083,0.364382,59.671,0.266326,0.178454
24,15,18.6473,18.2661,18.1767,29.8129,25.6445,25.3568,18.6934,0.625478,0.712332,0.716775,0.332098,0.359894,54.0596,0.0948889,0.174079
25,13,19.0236,18.7204,18.6252,30.6466,26.2842,25.9804,19.1843,0.62074,0.712282,0.716835,0.324749,0.35548,55.0962,0.0925204,0.169831
26,13,19.5066,19.1836,19.0826,31.039,26.9365,26.616,19.6862,0.628455,0.712231,0.716897,0.32707,0.351142,56.559,0.0694213,0.165705
27,9,19.9615,19.6558,19.5487,31.822,27.6015,27.2637,20.1993,0.627286,0.712179,0.71696,0.401058,0.346876,71.9944,0.180832,0.161699
28,9,20.3646,20.1369,20.0237,32.4297,28.2793,27.9236,20.7237,0.627962,0.712126,0.717024,0.317453,0.342683,58.6264,0.129384,0.157808
29,19,20.8068,20.6272,20.5076,33.6805,28.97,28.5957,21.2595,0.61777,0.712072,0.717089,0.323348,0.338562,63.203,0.0154543,0.15403
30,15,21.3337,21.1265,21.0004,33.6289,29.6736,29.2802,21.8069,0.634385,0.712017,0.717156,0.364787,0.334511,71.1392,0.247421,0.150361
31,11,21.9026,21.6349,21.5022,34.5345,30.3902,29.9769,22.366,0.634224,0.711961,0.717223,0.361679,0.330529,73.4013,0.168374,0.146798
32,5,22.4136,22.1524,22.013,35.6785,31.1197,30.686,22.9369,0.62821,0.711904,0.717293,0.369187,0.326616,78.6787,0.199326,0.143338
33,12,22.922,22.6791,22.5328,37.0409,31.8623,31.4075,23.5198,0.618829,0.711846,0.717363,0.353898,0.322771,79.7812,0.186041,0.139978
34,17,23.3549,23.215,23.0616,37.4925,32.6179,32.1413,24.1148,0.622921,0.711786,0.717435,0.29793,0.318993,68.3961,0.0833635,0.136715
35,14,23.8934,23.76,23.5995,38.6836,33.3865,32.8875,24.7219,0.617662,0.711726,0.717507,0.374682,0.31528,90.1474,0.297304,0.133546
36,11,24.3886,24.3141,24.1464,38.9424,34.1682,33.6461,25.3413,0.626274,0.711664,0.717582,0.346187,0.311632,84.1289,0.120341,0.130469
37,16,24.9006,24.8774,24.7023,40.3483,34.9629,34.417,25.9731,0.617141,0.711601,0.717657,0.361835,0.308049,92.7361,0.233759,0.127481
38,17,25.4387,25.4498,25.2672,41.5756,35.7705,35.2002,26.6174,0.611865,0.711538,0.717734,0.316925,0.304529,84.9602,0.198789,0.124579
39,12,25.8976,26.0312,25.841,42.5191,36.5911,35.9957,27.2742,0.609081,0.711473,0.717812,0.320322,0.301071,88.8101,0.126367,0.121761
40,10,26.5321,26.6216,26.4238,43.3522,37.4246,36.8033,27.9437,0.612013,0.711407,0.717891,0.363274,0.297674,103.693,0.213004,0.119024
41,16,26.9956,27.221,27.0154,43.4914,38.2709,37.6231,28.6258,0.620711,0.711339,0.717972,0.350095,0.294338,100.413,0.225886,0.116367
42,8,27.6117,27.8293,27.6159,44.0935,39.1299,38.4549,29.3207,0.626208,0.711271,0.718054,0.315127,0.291062,92.2674,0.223456,0.113786
43,17,28.2506,28.4464,28.2251,45.9252,40.0016,39.2986,30.0284,0.615144,0.711202,0.718137,0.342152,0.287845,106.487,0.196384,0.11128
44,8,28.752,29.0722,28.843,46.0823,40.8857,40.1541,30.7489,0.623927,0.711131,0.718222,0.295469,0.284686,92.4301,0.107297,0.108846
45,21,29.2966,29.7066,29.4695,47.0214,41.7822,41.0213,31.4823,0.623048,0.71106,0.718307,0.325065,0.281584,104.813,0.200286,0.106483
46,27,29.7739,30.3496,30.1045,47.7046,42.691,41.9001,32.2285,0.624131,0.710987,0.718394,0.262289,0.278539,86.4213,0.017754,0.104188
47,11,30.3097,31.0009,30.7479,47.414,43.6118,42.7902,32.9876,0.639257,0.710913,0.718483,0.294417,0.27555,96.1219,0.149835,0.101959
48,17,30.9693,31.6606,31.3995,48.5032,44.5445,43.6916,33.7596,0.638501,0.710838,0.718572,0.291073,0.272616,98.3233,0.0497752,0.0997944
49,10,31.7666,32.3283,32.0593,49.4359,45.4889,44.604,34.5445,0.642581,0.710762,0.718663,0.252351,0.269736,87.7139,0.109235,0.0976926
50,19,32.4845,33.004,32.7272,51.2558,46.4448,45.5273,35.3421,0.633773,0.710686,0.718755,0.280281,0.26691,102.851,0.114569,0.0956516
51,12,33.1489,33.6876,33.4029,52.6127,47.412,46.4612,36.1526,0.630055,0.710608,0.718848,0.238577,0.264136,91.0467,0.130023,0.0936696
52,13,33.8504,34.3788,34.0863,52.6846,48.3902,47.4055,36.9758,0.64251,0.710529,0.718942,0.274383,0.261415,104.926,0.119118,0.0917448
53,16,34.455,35.0774,34.7773,54.9198,49.3792,48.3599,37.8116,0.62737,0.710449,0.719037,0.290007,0.258744,118.033,0.154422,0.0898757
54,16,35.0375,35.7833,35.4756,56.3081,50.3788,49.3243,38.66,0.622246,0.710368,0.719134,0.256626,0.256125,108.432,0.00745,0.0880606
55,15,35.6217,36.4963,36.1811,55.8692,51.3885,50.2984,39.5209,0.637591,0.710286,0.719231,0.222863,0.253555,93.0674,0.0580241,0.0862979
56,19,36.337,37.2161,36.8936,56.8266,52.4082,51.2818,40.3941,0.639436,0.710203,0.71933,0.218207,0.251034,93.4752,0.00841563,0.0845862
57,12,36.9741,37.9425,37.6129,57.6816,53.4375,52.2743,41.2796,0.641003,0.710119,0.71943,0.219506,0.248561,96.1618,0.0262408,0.082924
58,20,37.6434,38.6752,38.3388,60.0516,54.4761,53.2755,42.1772,0.626851,0.710034,0.71953,0.236957,0.246137,110.27,0.0355329,0.0813099
59,23,38.3072,39.4141,39.071,61.8308,55.5236,54.2852,43.0867,0.619549,0.709949,0.719632,0.244081,0.243759,118.67,-0.0438451,0.0797424
60,19,38.9452,40.1589,39.8092,64.1268,56.5797,55.303,44.008,0.607316,0.709862,0.719735,0.230199,0.241427,118.212,0.114899,0.0782202
61,19,39.5245,40.9092,40.5534,65.03,57.644,56.3286,44.9409,0.607789,0.709775,0.719839,0.26263,0.239142,137.726,0.157638,0.076742
62,22,40.0425,41.6648,41.3031,65.0639,58.7161,57.3615,45.8852,0.615434,0.709687,0.719943,0.234348,0.236901,122.99,0.0780324,0.0753066
63,13,40.6248,42.4255,42.0581,64.87,59.7956,58.4015,46.8407,0.626249,0.709598,0.720049,0.237185,0.234704,123.923,0.07256,0.0739126
64,21,41.2991,43.1909,42.8182,67.7054,60.8822,59.4482,47.8071,0.609982,0.709508,0.720155,0.270618,0.232552,150.762,0.162396,0.072559
65,25,41.896,43.9607,43.5831,68.4234,61.9753,60.5011,48.7842,0.612305,0.709418,0.720262,0.249392,0.230442,141.153,0.185035,0.0712445
66,15,42.5103,44.7346,44.3525,67.9071,63.0745,61.5598,49.7718,0.626007,0.709327,0.72037,0.254889,0.228374,142.634,0.0695834,0.069968
67,23,43.0884,45.5123,45.1261,68.1138,64.1794,62.624,50.7695,0.632594,0.709235,0.720478,0.275557,0.226349,154.904,0.0788653,0.0687284
68,17,43.7439,46.2935,45.9036,68.2389,65.2895,63.6933,51.777,0.64104,0.709143,0.720588,0.228189,0.224364,128.63,0.0538917,0.0675247
69,26,44.3642,47.0778,46.6846,70.333,66.4044,64.7671,52.7942,0.630774,0.70905,0.720697,0.23963,0.22242,141.345,0.113142,0.0663558
70,28,44.9308,47.8649,47.4689,70.7106,67.5236,65.845,53.8206,0.635418,0.708956,0.720808,0.273498,0.220515,162.623,0.0812365,0.0652206
71,18,45.8161,48.6545,48.2562,71.5231,68.6465,66.9267,54.8559,0.640578,0.708862,0.720919,0.268244,0.21865,162.255,0.153012,0.0641183
72,16,46.5318,49.4461,49.0461,71.294,69.7728,68.0116,55.8997,0.652675,0.708768,0.721031,0.263211,0.216824,158.447,0.152028,0.0630479
73,35,47.1653,50.2395,49.8383,72.7152,70.9019,69.0994,56.9517,0.648631,0.708673,0.721143,0.247327,0.215035,153.359,0.0175837,0.0620085
74,20,47.9144,51.0343,50.6324,73.4407,72.0332,70.1894,58.0116,0.652423,0.708578,0.721255,0.235872,0.213284,148.45,-0.0282479,0.0609991
75,23,48.4916,51.8301,51.4282,75.1019,73.1664,71.2814,59.0789,0.645677,0.708482,0.721368,0.235077,0.211569,152.999,0.0364406,0.0600189
76,19,49.0834,52.6265,52.2252,76.0272,74.3008,72.3747,60.1532,0.645603,0.708386,0.721481,0.256203,0.209891,169.839,0.131578,0.059067
77,29,49.8837,53.4233,53.0232,73.9664,75.4359,73.469,61.2341,0.674411,0.70829,0.721594,0.29939,0.208249,190.453,0.160276,0.0581427
78,24,50.635,54.22,53.8218,77.3648,76.5713,74.5638,62.3212,0.654497,0.708194,0.721708,0.262227,0.206641,178.44,0.157864,0.0572451
79,26,51.2863,55.0162,54.6206,78.2333,77.7065,75.6585,63.414,0.655556,0.708097,0.721822,0.214265,0.205068,148.265,0.00346637,0.0563735
80,21,51.8573,55.8117,55.4193,80.7743,78.8408,76.7527,64.5122,0.642002,0.708001,0.721936,0.209458,0.203528,152.057,0.0873929,0.0555271
81,32,52.5572,56.606,56.2176,81.4165,79.9737,77.846,65.6152,0.645535,0.707904,0.72205,0.202342,0.202023,148.647,-0.00426037,0.0547052
82,26,53.1616,57.3988,57.0151,81.2957,81.1049,78.9378,66.7226,0.653929,0.707807,0.722164,0.171854,0.200549,125.968,-0.0307186,0.0539071
83,35,53.7428,58.1897,57.8114,83.2516,82.2337,80.0278,67.8339,0.645546,0.707711,0.722278,0.19301,0.199108,146.612,-0.0594476,0.053132
84,22,54.3037,58.9783,58.6063,83.2289,83.3596,81.1153,68.9486,0.652462,0.707614,0.722392,0.173554,0.197699,131.779,-0.0407351,0.0523794
85,29,55.0471,59.7644,59.3994,83.7089,84.4821,82.2,70.0663,0.657602,0.707517,0.722506,0.217515,0.196321,166.589,0.0926529,0.0516486
86,32,55.7342,60.5475,60.1903,85.2476,85.6008,83.2815,71.1864,0.653792,0.707421,0.72262,0.197397,0.194973,155.369,0.0226058,0.0509389
87,24,56.4456,61.3274,60.9788,85.5352,86.7151,84.3592,72.3085,0.65991,0.707324,0.722733,0.175824,0.193655,139.09,0.0374863,0.0502498
88,32,57.2429,62.1036,61.7644,86.8985,87.8246,85.4327,73.432,0.658733,0.707228,0.722847,0.192909,0.192367,156.269,-0.0402211,0.0495806
89,34,57.9711,62.8759,62.5469,90.1275,88.9287,86.5016,74.5566,0.643212,0.707132,0.72296,0.141724,0.191108,121.263,0.15548,0.0489308
90,30,58.5368,63.6438,63.3259,91.0398,90.027,87.5654,75.6815,0.64298,0.707037,0.723072,0.193053,0.189877,167.696,0.0532144,0.0482997
91,33,59.1995,64.4072,64.1012,91.4677,91.1191,88.6237,76.8064,0.647218,0.706942,0.723184,0.164326,0.188674,143.75,0.0854148,0.047687
92,34,59.8711,65.1657,64.8724,91.8925,92.2044,89.6762,77.9308,0.651534,0.706847,0.723296,0.203439,0.187499,179.207,0.0400683,0.047092
93,32,60.3572,65.919,65.6393,94.5324,93.2826,90.7224,79.054,0.638482,0.706752,0.723407,0.174947,0.186351,160.797,-0.0234954,0.0465142
94,35,60.9445,66.6667,66.4015,94.0802,94.3532,91.7618,80.1758,0.647793,0.706658,0.723518,0.19713,0.185229,179.887,0.0696902,0.0459531
95,41,61.7798,67.4087,67.1587,93.8981,95.4159,92.7942,81.2954,0.657945,0.706565,0.723628,0.220672,0.184133,200.786,-0.0150129,0.0454083
96,32,62.3575,68.1446,67.9107,97.4583,96.4701,93.8192,82.4125,0.639838,0.706472,0.723738,0.192377,0.183062,185.09,-0.00655123,0.0448792
97,37,63.0561,68.8741,68.6572,95.6964,97.5156,94.8363,83.5265,0.658919,0.70638,0.723847,0.182389,0.182016,170.743,0.0557885,0.0443655
98,32,63.5438,69.5971,69.398,93.9303,98.5519,95.8453,84.6369,0.6765,0.706288,0.723955,0.174396,0.180995,158.762,-0.00944253,0.0438667
99,30,64.4617,70.3132,70.1327,98.0009,99.5786,96.8458,85.7434,0.657766,0.706197,0.724062,0.170669,0.179998,165.577,-0.05759,0.0433823
100,30,65.0288,71.0223,70.8612,99.6422,100.596,97.8375,86.8453,0.652623,0.706107,0.724169,0.236642,0.179025,235.373,0.114919,0.0429119
101,21,65.7635,71.724,71.5833,100.437,101.602,98.8201,87.9422,0.654773,0.706018,0.724275,0.247071,0.178074,248.693,0.116128,0.0424551
102,17,66.4713,72.4183,72.2986,101.787,102.599,99.7933,89.0337,0.653046,0.705929,0.72438,0.173707,0.177146,178.382,0.00582743,0.0420116
103,27,67.0293,73.1048,73.007,97.3742,103.584,100.757,90.1193,0.688368,0.705841,0.724484,0.18184,0.176241,174.725,0.0950758,0.0415809
104,22,67.6197,73.7835,73.7083,103.398,104.558,101.71,91.1986,0.653974,0.705754,0.724587,0.153041,0.175357,160.908,0.0439652,0.0411627
105,35,68.2145,74.454,74.4023,104.298,105.521,102.654,92.2711,0.654035,0.705667,0.724689,0.187739,0.174495,199.971,0.119913,0.0407566
106,21,68.6477,75.1164,75.0887,101.772,106.473,103.586,93.3365,0.674525,0.705582,0.72479,0.154195,0.173653,158.312,0.000919443,0.0403623
107,25,69.3014,75.7703,75.7675,104.73,107.413,104.508,94.3942,0.661714,0.705497,0.72489,0.207112,0.172832,221.979,0.0898618,0.0399794
108,30,70.205,76.4156,76.4385,103.806,108.34,105.42,95.444,0.676311,0.705414,0.72499,0.139721,0.172031,147.773,-0.00542105,0.0396076
109,43,70.7759,77.0523,77.1015,103.68,109.255,106.32,96.4854,0.682637,0.705331,0.725088,0.163897,0.171249,173.027,0.0320758,0.0392466
110,33,71.4407,77.6802,77.7564,108.582,110.158,107.209,97.5181,0.657939,0.70525,0.725185,0.205099,0.170487,232.061,-0.00369396,0.038896
111,25,71.9183,78.2992,78.403,109.5,111.049,108.086,98.5417,0.656789,0.705169,0.72528,0.165865,0.169744,190.053,0.101475,0.0385556
112,46,72.1841,78.9092,79.0412,108.681,111.926,108.952,99.5558,0.664181,0.705089,0.725375,0.191396,0.169019,216.853,0.094598,0.038225
113,38,72.7783,79.5101,79.671,109.992,112.791,109.806,100.56,0.661668,0.705011,0.725469,0.170184,0.168312,196.318,0.0146561,0.0379041
114,46,73.5257,80.1018,80.2922,109.579,113.643,110.648,101.555,0.670981,0.704933,0.725561,0.142578,0.167622,163.548,0.0541431,0.0375924
115,33,74.1671,80.6842,80.9047,107.69,114.481,111.479,102.539,0.688709,0.704857,0.725652,0.188538,0.16695,210.698,0.121545,0.0372898
116,38,74.8668,81.2574,81.5084,107.095,115.307,112.297,103.512,0.699069,0.704781,0.725742,0.187183,0.166295,207.454,0.0495585,0.0369959
117,37,75.4123,81.8212,82.1033,108.833,116.119,113.103,104.474,0.692916,0.704707,0.725831,0.129623,0.165656,147.172,-0.0558842,0.0367106
118,39,76.0789,82.3756,82.6893,110.196,116.918,113.896,105.426,0.690398,0.704634,0.725918,0.164264,0.165034,190.015,0.0870512,0.0364335
119,46,76.794,82.9207,83.2664,111.6,117.703,114.678,106.365,0.688116,0.704562,0.726004,0.181135,0.164427,213.551,-0.00894229,0.0361645
120,42,77.3889,83.4563,83.8345,111.848,118.475,115.447,107.294,0.691912,0.704491,0.726089,0.136084,0.163836,160.972,0.0358413,0.0359032
121,38,77.8857,83.9825,84.3936,112.844,119.234,116.204,108.21,0.690209,0.704421,0.726173,0.147738,0.16326,177.095,-0.0316372,0.0356496
